fold,meta_score,recency,stability,diversity,ensemble
1,0.2,0.2,0.2,0.2,0.2
2,0.2043390514631664,0.0,0.0,0.0,0.7956609485368337
3,0.0,0.0,1.0,0.0,0.0
4,0.12962703021914349,0.0,0.26979221957485333,0.4481557673953522,0.15242498281065103
5,0.5,0.5,0.0,0.0,0.0
