fold,test_draws,adaptive_average_hits,adaptive_difference,selected_strategy,selected_average_hits,selected_difference,weighted_summary_difference,weighted_summary_hits,relative_improvement_percent,monte_carlo_p_value
1,1008,0.7392857142857143,0.004591836734693841,meta_score,0.7658730158730158,0.0311791383219954,-0.012601646321525467,0.722092231229495,-1.7152240826520775,0.8456
2,1008,0.6855710972261668,-0.049122780324853586,ensemble,0.6617063492063493,-0.0729875283446712,-0.012601646321525467,0.722092231229495,-1.7152240826520775,0.8456
3,1008,0.770530460366909,0.03583658281588854,stability,0.7529761904761905,0.01828231292517,-0.012601646321525467,0.722092231229495,-1.7152240826520775,0.8456
4,1008,0.6920438014703469,-0.042650076080673456,meta_score,0.6822244289970208,-0.0524694485539996,-0.012601646321525467,0.722092231229495,-1.7152240826520775,0.8456
5,7,0.857142857142857,0.1224489795918366,recency,0.857142857142857,0.1224489795918366,-0.012601646321525467,0.722092231229495,-1.7152240826520775,0.8456
