fold,test_draws,adaptive_average_hits,adaptive_difference,selected_strategy,selected_average_hits,selected_difference
1,1008,0.7206349206349206,-0.014058956916099798,meta_score,0.7392857142857142,0.0045918367346938
2,1008,0.6991569592652848,-0.035536918285735644,meta_score,0.6908488569624185,-0.043845020588602
3,1008,0.764278474208872,0.02958459665785148,stability,0.7529761904761905,0.01828231292517
4,1008,0.7226916708624648,-0.012002206688555665,stability,0.7398212512413107,0.0051273736902903
5,7,0.857142857142857,0.1224489795918366,meta_score,0.857142857142857,0.1224489795918366
