fold,train_draws,test_draws,top6,average_hits,total_hits,maximum_hits,random_expected,difference,difference_percent,random_simulation_mean,random_ci_low,random_ci_high,empirical_p
2,1007,1008,"22,48,32,49,6,31",0.7619047619047619,768,3,0.7346938775510204,0.027210884353741416,3.7037037037036926,0.7349268849206348,0.6884920634920635,0.7797619047619048,0.12258774122587741
3,2015,1008,"32,17,39,49,21,46",0.6884920634920635,694,3,0.7346938775510204,-0.04620181405895696,-6.288580246913586,0.7344258928571429,0.6865079365079365,0.7807539682539683,0.9697030296970303
4,3023,1008,"49,26,33,6,38,31",0.7966269841269841,803,4,0.7346938775510204,0.061933106575963626,8.42978395061727,0.7347277777777779,0.6805555555555556,0.7916666666666666,0.015898410158984102
5,4031,1008,"6,38,32,26,43,42",0.683531746031746,689,4,0.7346938775510204,-0.0511621315192744,-6.963734567901238,0.734304365079365,0.6904761904761905,0.7777777777777778,0.989001099890011
