fold,selected_strategy,ensemble_weight,recency_weight,stability_weight,diversity_weight,selected_difference,meta_score
1,ensemble,0.25,0.25,0.25,0.25,0.0401077097505668,-0.00205498866213155
2,ensemble,0.5578996174800045,0.007302654456937529,0.18117537962211674,0.2536223484409413,-0.0729875283446712,-0.04550735811499361
3,stability,0.11480289343439513,0.019624130412210606,0.6599176271069119,0.20565534904648225,0.01828231292517,0.03491363434701161
4,diversity,0.25675680684582675,0.009496286613398849,0.30046369455711786,0.43328321198365655,-0.0504833512352309,-0.028342807292201722
5,stability,0.1098124077160219,0.02994855724999608,0.5737200982806093,0.28651893675337275,,0.00366717027550972
