fold,test_draws,adaptive_average_hits,adaptive_difference,selected_strategy,selected_average_hits,selected_difference
1,1008,0.7339682539682539,-0.0007256235827664791,meta_score,0.7392857142857142,0.0045918367346938
2,1008,0.6809291409185451,-0.05376473663247536,ensemble,0.6617063492063493,-0.0729875283446712
3,1008,0.7682140163424062,0.03352013879138568,stability,0.7529761904761905,0.01828231292517
4,1008,0.7027291564348696,-0.031964721116150924,diversity,0.6842105263157896,-0.0504833512352309
5,1008,0.857142857142857,0.1224489795918366,recency,0.857142857142857,0.1224489795918366
