fold,train_draws,test_draws,train_end_date,test_start_date,test_end_date,selected_numbers,average_hits,total_hits,maximum_hits,random_expected,difference,difference_percent,random_simulation,random_lower,random_upper,empirical_p
1,1008,1008,1975-02-01,1975-02-08,1994-05-28,"22,42,48,6,32,33",0.7658730158730159,772,4,0.7346938775510204,0.03117913832199548,4.243827160493829,0.7350456349206349,0.6904265873015873,0.7807539682539683,0.096
2,2016,1008,1994-05-28,1994-06-04,2007-04-28,"17,49,32,11,21,37",0.7162698412698413,722,4,0.7346938775510204,-0.018424036281179168,-2.50771604938272,0.733170634920635,0.6875,0.7807539682539683,0.7774
3,3024,1008,2007-04-28,2007-05-02,2016-12-24,"43,31,49,6,3,22",0.8234126984126984,830,4,0.7346938775510204,0.08871882086167793,12.075617283950606,0.7353194444444444,0.6825396825396826,0.7916914682539682,0.0008
4,4032,1007,2016-12-24,2016-12-28,2026-08-19,"26,6,38,39,32,48",0.6822244289970208,687,3,0.7346938775510204,-0.0524694485539996,-7.141674942072167,0.7357676266137041,0.6911618669314796,0.7775571002979146,0.9896
