fold,meta_score,recency,stability,diversity,ensemble
1,0.0,0.25,0.25,0.25,0.25
2,0.0,0.25,0.25,0.25,0.25
3,0.0,0.12756954431794704,0.4,0.23910016704693937,0.23333028863511351
4,0.0,0.125,0.29192990395255314,0.29294564295025943,0.2901244530971874
5,0.0,1.0,0.0,0.0,0.0
