experiment,features_count,train_auc,test_auc,average_hits,total_hits,maximum_hits,random_expected,difference,difference_percent
V2 Baseline,8,0.6211526844802089,0.48922549826530926,0.702061855670103,681,3,0.7346938775510204,-0.032632021880917406,-4.4415807560137575
V2 + Previous Draw,16,0.7007468951970526,0.4906722019409093,0.711340206185567,690,4,0.7346938775510204,-0.02335367136545341,-3.1786941580756025
V2 + Calendar,12,0.6776894162476454,0.4926729994620028,0.711340206185567,690,4,0.7346938775510204,-0.02335367136545341,-3.1786941580756025
V2 + Previous Draw + Calendar,20,0.7207608950184359,0.4970249826778089,0.7350515463917526,713,4,0.7346938775510204,0.00035766884073218375,0.048682703321880565
