fold,test_draws,start_date,end_date,average_hits,random_expected,difference,difference_percent
1,194,2017-05-06,2019-03-13,0.7268041237113402,0.7346938775510204,-0.007889753839680269,-1.0738831615120366
2,194,2019-03-16,2021-01-20,0.7731958762886598,0.7346938775510204,0.038501998737639376,5.240549828178692
3,194,2021-01-23,2022-11-30,0.6855670103092784,0.7346938775510204,-0.04912686724174209,-6.686712485681562
4,194,2022-12-03,2024-10-09,0.7268041237113402,0.7346938775510204,-0.007889753839680269,-1.0738831615120366
5,194,2024-10-12,2026-08-19,0.6597938144329897,0.7346938775510204,-0.07490006311803077,-10.19473081328752
