fold,test_draws,adaptive_average_hits,adaptive_difference,selected_strategy,selected_average_hits,selected_difference,random_expected,monte_carlo_p_value
1,1008,0.12172335600907025,-0.0007256235827664791,meta_score,0.12704081632653053,0.0045918367346938,0.12244897959183673,0.0055
2,1008,0.0708280829751534,-0.05162089661668333,ensemble,0.04946145124716553,-0.0729875283446712,0.12244897959183673,0.0055
3,1008,0.15087887798551294,0.028429898393676215,stability,0.14073129251700672,0.01828231292517,0.12244897959183673,0.0055
4,1008,0.09252507882440071,-0.029923900767436024,diversity,0.07196562835660583,-0.0504833512352309,0.12244897959183673,0.0055
5,7,0.24489795918367332,0.1224489795918366,meta_score,0.24489795918367332,0.1224489795918366,0.12244897959183673,0.0055
