fold,train_draws,test_draws,average_hits,random_expected,difference,difference_percent,random_mean,random_lower,random_upper,empirical_p,selected_numbers
1,839,839,0.7389749702026222,0.7346938775510204,0.004281092651601703,0.5827042775791208,0.7353132300357569,0.6865315852205006,0.7830750893921334,0.45670865826834633,"6,7,9,33,35,36"
2,1678,839,0.7508939213349225,0.7346938775510204,0.01620004378390205,2.2050059594755567,0.7343592371871276,0.6758045292014303,0.7902264600715138,0.29354129174165167,"5,9,21,22,38,49"
3,2517,839,0.7151370679380215,0.7346938775510204,-0.019556809612998993,-2.6618990862137517,0.7342448152562574,0.6841179976162098,0.7830750893921334,0.7720455908818237,"10,11,15,25,32,48"
4,3356,839,0.7878426698450537,0.7346938775510204,0.05314879229403324,7.234141173354525,0.7346,0.6829261025029798,0.7902264600715138,0.03179364127174565,"6,7,18,29,44,49"
5,4195,839,0.7318235995232419,0.7346938775510204,-0.0028702780277785056,-0.39067673155874105,0.7347523241954708,0.6853396901072706,0.7806912991656734,0.5630873825234953,"6,7,10,22,23,35"
