fold,train_draws,test_draws,average_hits,total_hits,max_hits,random_expected,difference,difference_percent,random_mean,random_lower,random_upper,empirical_p
1,1008,1008,0.6964285714285714,702,4,0.7346938775510204,-0.03826530612244905,-5.208333333333343,0.734402380952381,0.6865079365079365,0.781770833333333,0.9472105578884223
2,2016,1008,0.753968253968254,760,3,0.7346938775510204,0.019274376417233507,2.6234567901234493,0.7346442460317462,0.6884672619047619,0.7817460317460317,0.21295740851829634
3,3024,1008,0.7380952380952381,744,3,0.7346938775510204,0.003401360544217691,0.46296296296296346,0.734656746031746,0.689484126984127,0.7807787698412695,0.4437112577484503
4,4032,1007,0.7348560079443893,740,4,0.7346938775510204,0.00016213039336887558,0.022067747986319174,0.7345034756703078,0.6871896722939425,0.7805362462760675,0.5124975004999001
