fold,train_start,train_end,test_start,test_end,train_draws,test_draws,top6,average_hits,total_hits,maximum_hits,random_expected,difference,difference_percent,random_sim_mean,random_sim_low,random_sim_high,empirical_p
2,1955-10-09,1975-02-01,1975-02-08,1994-05-28,1008,1008,"21,22,36,39,48,49",0.7271825396825397,733,3,0.7346938775510204,-0.007511337868480794,-1.0223765432098857,0.7345008928571428,0.6875,0.7807539682539683,0.6348365163483651
3,1955-10-09,1994-05-28,1994-06-04,2007-04-28,2016,1008,"17,19,21,32,38,49",0.7172619047619048,723,3,0.7346938775510204,-0.01743197278911568,-2.3726851851851896,0.7346963293650793,0.6865079365079365,0.7807539682539683,0.7653234676532347
4,1955-10-09,2007-04-28,2007-05-02,2016-12-24,3024,1008,"6,26,32,33,38,49",0.7936507936507936,800,3,0.7346938775510204,0.05895691609977316,8.024691358024679,0.734728373015873,0.6805555555555556,0.7896825396825397,0.018998100189981004
5,1955-10-09,2016-12-24,2016-12-28,2026-08-19,4032,1007,"6,26,32,38,43,49",0.6951340615690169,700,3,0.7346938775510204,-0.03955981598200353,-5.384530508661592,0.7345075471698113,0.689175769612711,0.7785501489572989,0.9586041395860414
