number,mean_gap,median_gap,mean_freq_5,mean_freq_20,mean_freq_100,hit_rate,appearances,difference_from_random,difference_percent
1,7.688097133757962,6.0,0.6269904458598726,2.506170382165605,12.453821656050955,0.12519904458598727,629,0.002750064994150536,2.2458864118896043
2,8.166201117318435,6.0,0.61512370311253,2.456903431763767,12.18096568236233,0.12290502793296089,616,0.00045604834112415726,0.3724394785847285
3,7.876339817387852,6.0,0.6321953156014292,2.5232235013894404,12.504962286621675,0.12643906312028583,637,0.003990083528449095,3.258568214900095
4,8.084607745779543,6.0,0.6186693147964251,2.471102284011917,12.265739821251241,0.12353525322740815,622,0.0010862736355714137,0.8871234690499878
5,8.006555423122766,6.0,0.6187922129519269,2.4694080254270956,12.253873659117998,0.12355979340484705,622,0.001110813813010314,0.9071646139584231
6,7.22844656336909,5.0,0.6734207389749702,2.6918951132300357,13.359555025824394,0.1344854986094557,677,0.012036519017618957,9.829823864388814
7,8.265709156193896,6.0,0.6269698783163774,2.502692998204668,12.395571514063436,0.12547376820267306,629,0.0030247886108363264,2.470244032183
8,8.388513513513514,6.0,0.5798887122416534,2.3171701112877585,11.481120826709063,0.11585850556438791,583,-0.00659047402744882,-5.38222045574987
9,7.784138342277878,6.0,0.6251242297753926,2.5004969191015705,12.41125024845955,0.1248260783144504,628,0.0023770987226136714,1.9412972901344983
10,7.743288924239412,6.0,0.6204016703121893,2.4778285941539075,12.290316166235833,0.12388148737323523,623,0.001432507781398501,1.1698813548087759
11,7.599520383693045,5.0,0.6494804156674661,2.595923261390887,12.862310151878496,0.1296962430055955,649,0.007247263413758781,5.918598454569671
12,9.043271139341009,6.0,0.5835649067090115,2.334259626836046,11.598451766574037,0.11651448987693529,587,-0.005934489714901445,-4.84649993383618
13,8.850337435490275,6.0,0.554982135768162,2.2173481540293767,10.96347757046447,0.11095672886065899,559,-0.011492250731177739,-9.385338097128487
14,8.311358220810167,6.0,0.5808181096108023,2.3208895949166006,11.522041302621128,0.11596505162827642,584,-0.006483927963560315,-5.295207836907591
15,8.192985971943887,6.0,0.598997995991984,2.391382765531062,11.800200400801604,0.11963927855711423,597,-0.0028097010347225004,-2.2945891783567087
16,8.123660182612147,6.0,0.6093687971417229,2.4344978165938866,12.054386661373561,0.12167526796347757,613,-0.0007737116283591666,-0.6318644964933194
17,7.649611785785387,6.0,0.6141747959386821,2.454509257415887,12.192116265180172,0.12263587497511447,616,0.00018689538327773536,0.1526312296768172
18,8.284494738931905,6.0,0.6035338495135993,2.4115544967242406,11.988485209450069,0.12050823903116935,607,-0.0019407405606673839,-1.5849381245450302
19,7.577229299363057,6.0,0.6279856687898089,2.508957006369427,12.463176751592357,0.12539808917197454,630,0.0029491095801378042,2.4084394904458737
20,8.42107355864811,6.0,0.5978131212723659,2.3846918489065607,11.730815109343936,0.1194831013916501,601,-0.0029658782001866363,-2.4221338634857528
21,9.002982107355864,6.0,0.5705765407554672,2.2797216699801193,11.334194831013917,0.11391650099403579,573,-0.008532478597800944,-6.9681908548707705
22,8.05881184184383,6.0,0.6367971388833698,2.5384462547188558,12.642757798529704,0.12735942777667394,641,0.004910448184837213,4.010199350950391
23,8.52123858674077,6.0,0.5843588725684795,2.3350535926955143,11.583763398173879,0.11691147280666932,589,-0.005537506785167415,-4.522297207886722
24,7.6743447180301825,6.0,0.6036536934074662,2.4114376489277203,11.97100873709293,0.12073073868149325,608,-0.001718240910343477,-1.4032300767805064
25,8.021743466985837,6.0,0.642329942150409,2.5631358467983243,12.710752044683822,0.12826650708158788,643,0.005817527489751145,4.750980783296769
26,7.524150268336315,5.0,0.6481812760882528,2.5907374279467303,12.828065990856688,0.12959650168952494,652,0.007147522097688208,5.8371430464453695
27,8.175675675675675,6.0,0.6184419713831478,2.4715818759936408,12.250993640699523,0.12360890302066772,622,0.0011599234288309918,0.9472708002119766
28,8.895334928229666,6.0,0.5871212121212122,2.345494417862839,11.594298245614034,0.11722488038277512,588,-0.005224099209061611,-4.266347687400316
29,8.0017881978939,6.0,0.6143453208821776,2.456189151599444,12.201668984700973,0.12278958871448441,618,0.0003406091226476754,0.27816411682893494
30,8.710144927536232,6.0,0.5961882072662299,2.3813778042485607,11.816756005558865,0.11911852293031566,600,-0.0033304566615210696,-2.719872940242207
31,7.892530790623758,6.0,0.6356773937226857,2.5341676599125944,12.622765196662694,0.12713547874453715,640,0.0046864991527004185,3.827307641372008
32,7.697836013500099,6.0,0.6444312090530078,2.576136589239627,12.754615842763549,0.12884653563629145,649,0.006397556044454716,5.224670769638019
33,7.6079681274900395,6.0,0.6424302788844621,2.5675298804780877,12.776294820717132,0.12848605577689243,645,0.006037076185055695,4.930278884462151
34,8.838363780778396,6.0,0.5847895154884829,2.3391580619539316,11.643963463065925,0.11675933280381255,588,-0.00568964678802418,-4.646544876886414
