fold,window,test_draws,average_hits,random_expected,difference,difference_percent
1,250,1008,0.748015873015873,0.7346938775510204,0.013321995464852576,1.8132716049382671
2,250,1008,0.7251984126984127,0.7346938775510204,-0.009495464852607771,-1.2924382716049465
3,250,1008,0.7728174603174603,0.7346938775510204,0.0381235827664399,5.189043209876542
4,250,1007,0.746772591857001,0.7346938775510204,0.012078714305980509,1.6440472249806806
1,500,1008,0.75,0.7346938775510204,0.015306122448979553,2.083333333333328
2,500,1008,0.7470238095238095,0.7346938775510204,0.012329931972789088,1.6782407407407367
3,500,1008,0.7559523809523809,0.7346938775510204,0.021258503401360485,2.89351851851851
4,500,1007,0.7269116186693148,0.7346938775510204,-0.007782258881705695,-1.059251903343275
1,750,1008,0.75,0.7346938775510204,0.015306122448979553,2.083333333333328
2,750,1008,0.7033730158730159,0.7346938775510204,-0.03132086167800452,-4.263117283950614
3,750,1008,0.7559523809523809,0.7346938775510204,0.021258503401360485,2.89351851851851
4,750,1007,0.7368421052631579,0.7346938775510204,0.002148227712137407,0.2923976608187026
1,1000,1008,0.7668650793650794,0.7346938775510204,0.03217120181405897,4.378858024691359
2,1000,1008,0.7619047619047619,0.7346938775510204,0.027210884353741416,3.7037037037036926
3,1000,1008,0.7817460317460317,0.7346938775510204,0.0470521541950113,6.404320987654315
4,1000,1007,0.7298907646474677,0.7346938775510204,-0.004803112903552731,-0.6537570340946772
1,1500,1008,0.7668650793650794,0.7346938775510204,0.03217120181405897,4.378858024691359
2,1500,1008,0.7232142857142857,0.7346938775510204,-0.011479591836734748,-1.5625000000000073
3,1500,1008,0.7410714285714286,0.7346938775510204,0.0063775510204081565,0.8680555555555546
4,1500,1007,0.7428003972194638,0.7346938775510204,0.008106519668443335,1.1033873993158982
1,2000,1008,0.7668650793650794,0.7346938775510204,0.03217120181405897,4.378858024691359
2,2000,1008,0.6994047619047619,0.7346938775510204,-0.035289115646258584,-4.803240740740752
3,2000,1008,0.7142857142857143,0.7346938775510204,-0.020408163265306145,-2.777777777777781
4,2000,1007,0.733862959285005,0.7346938775510204,-0.0008309182660154457,-0.11309720842988011
