fold,test_draws,adaptive_average_hits,adaptive_difference,selected_strategy,selected_average_hits,selected_difference
1,1008.0,0.7326390113378685,-0.00205498866213155,recency,0.6994048843537415,-0.0352891156462585
2,1008.0,0.7078374240362811,-0.026856575963718824,recency,0.7132937732426303,-0.0214002267573696
3,1008.0,0.7722753630131736,0.03758136301317362,stability,0.75297631292517,0.01828231292517
4,1007.0,0.7136467811003555,-0.021047218899644483,diversity,0.684210648764769,-0.0504833512352309
5,7.0,0.8571429795918366,0.1224489795918366,recency,0.8571429795918366,0.1224489795918366
