fold,meta_score,recency,stability,diversity,ensemble
1,0.2,0.2,0.2,0.2,0.2
2,0.18633166849559513,0.021480963293965857,0.07801764012050329,0.13353160934361977,0.5806381187463161
3,0.08912556550836359,0.02811576218100328,0.6110022154742234,0.13587822841820535,0.13587822841820446
4,0.14622423380441057,0.01701661828068816,0.2274031895735997,0.4522429909432335,0.15711296739806818
5,0.4641970666312247,0.5358029333687753,0.0,0.0,0.0
