fold,meta_score,recency,stability,diversity,ensemble
1,0.0,0.25,0.25,0.25,0.25
2,0.0,0.25,0.25,0.25,0.25
3,0.0,0.26413182348967285,0.39999999999999997,0.33586816511058404,1.1399743155529963e-08
4,0.0,0.1989946177635912,0.4010049443089732,0.4000000000000001,4.3792743548304083e-07
