fold,test_draws,average_hits,random_expected,difference,difference_percent,empirical_p
1,1008,0.7331349206349206,0.7346938775510204,-0.0015589569160998629,-0.21219135802470354,0.5428
2,1008,0.7033730158730159,0.7346938775510204,-0.03132086167800452,-4.263117283950614,0.901
3,1008,0.8204365079365079,0.7346938775510204,0.08574263038548746,11.670524691358015,0.0008
4,1007,0.6842105263157895,0.7346938775510204,-0.050483351235230955,-6.871345029239769,0.989
