strategy,folds,mean_difference,median_difference,std_difference,above_random,below_random,best_fold,worst_fold
meta_score,5,0.01927917324265162,0.0045918367346938,0.0692154609604277,3,2,0.1224489795918366,-0.043845020588602
recency,5,0.01352040816326528,-0.0094954648526077,0.06324900774200087,2,3,0.1224489795918366,-0.0352891156462585
stability,4,0.007553101925973901,0.01170484330773015,0.014122789227214534,3,1,0.01828231292517,-0.0114795918367347
diversity,4,0.0005948651390380519,-0.01643990929705215,0.06022839497044112,1,3,0.0857426303854874,-0.0504833512352309
ensemble,4,-0.004360772776505525,0.0042461415218189025,0.05794590218102561,2,2,0.0470521541950113,-0.0729875283446712
