fold,test_draws,adaptive_average_hits,adaptive_difference,selected_strategy,selected_average_hits,selected_difference
1,1008,0.12039399092970518,-0.00205498866213155,recency,0.08715986394557823,-0.0352891156462585
2,1008,0.09559240362811791,-0.026856575963718824,recency,0.10104875283446713,-0.0214002267573696
3,1008,0.1560520707912145,0.033603091199377766,stability,0.14073129251700672,0.01828231292517
4,1008,0.10656790225818365,-0.015881077333653088,stability,0.12757635328212702,0.0051273736902903
