fold,train_draws,test_draws,selected_numbers,average_hits,total_hits,maximum_hits,random_expected,difference,difference_percent,random_simulation,random_low,random_high,empirical_p
1,1008,1008,"22,46,42,32,48,9",0.7748015873015873,781,3,0.7346938775510204,0.04010770975056688,5.459104938271603,0.7345579365079365,0.6884920634920635,0.7807539682539683,0.046
2,2016,1008,"17,16,46,39,21,32",0.6617063492063492,667,3,0.7346938775510204,-0.07298752834467126,-9.934413580246922,0.7345126984126984,0.685515873015873,0.7807539682539683,0.9984
3,3024,1008,"43,31,17,37,3,22",0.7817460317460317,788,4,0.7346938775510204,0.0470521541950113,6.404320987654315,0.73425,0.6815476190476191,0.7906746031746031,0.0489
4,4032,1008,"32,38,49,42,36,22",0.7033730158730159,709,3,0.7346938775510204,-0.03132086167800452,-4.263117283950614,0.7347845238095239,0.6904761904761905,0.7777777777777778,0.914
