window,mean_frequency,median_frequency,max_frequency,overall_hit_rate
5,0.6131518390902561,0.0,5,0.12250455561913806
10,1.2256949094760936,1.0,7,0.12250455561913806
20,2.4489547441345136,2.0,9,0.12250455561913806
50,6.10412379920373,6.0,17,0.12250455561913806
100,12.147370727965617,12.0,28,0.12250455561913806
200,24.051233974163857,24.0,43,0.12250455561913806
