fold,train_draws,test_draws,average_hits,random_expected,difference,difference_percent,empirical_p,selected_numbers
1,1000,1008,0.6994047619047619,0.7346938775510204,-0.035289115646258584,-4.803240740740752,0.9348,"27,47,29,14,12,34"
2,1000,1008,0.7132936507936508,0.7346938775510204,-0.021400226757369634,-2.912808641975311,0.8166,"28,19,12,16,11,24"
3,1000,1008,0.7251984126984127,0.7346938775510204,-0.009495464852607771,-1.2924382716049465,0.6638,"25,18,24,5,11,32"
4,1000,1008,0.746031746031746,0.7346938775510204,0.0113378684807256,1.5432098765432065,0.3194,"22,3,31,12,4,16"
5,1000,7,0.8571428571428571,0.7346938775510204,0.12244897959183665,16.666666666666654,0.4082,"39,37,13,44,35,7"
