fold,test_draws,adaptive_average_hits,adaptive_difference,selected_strategy,selected_average_hits,selected_difference
1,1008,0.7339682539682539,-0.0007256235827664788,meta_score,0.7392857142857142,0.0045918367346938
2,1008,0.6922108417395472,-0.04248303581147324,ensemble,0.6617063492063493,-0.0729875283446712
3,1008,0.7716769680374651,0.03698309048644461,stability,0.7529761904761905,0.01828231292517
4,1008,0.7086663060731755,-0.026027571477844975,diversity,0.6842105263157896,-0.0504833512352309
5,7,0.857142857142857,0.1224489795918366,recency,0.857142857142857,0.1224489795918366
