gap_bucket,samples,positives,hit_rate,hit_rate_percent,difference,difference_percent
1,30228.0,3693.0,0.1221714966256451,12.217149662564509,-0.00027748296619163615,-0.22661108905650285
2,26529.0,3154.0,0.11888876324022768,11.888876324022768,-0.0035602163516090524,-2.9075100204807263
3,23370.0,2902.0,0.1241762943945229,12.41762943945229,0.0017273148026861612,1.4106404221936983
4-5,38381.0,4699.0,0.12243036919309033,12.243036919309032,-1.8610398746399248e-05,-0.015198492309559386
6-10,61297.0,7650.0,0.1248021926032269,12.480219260322691,0.0023532130113901734,1.9217906259686415
11-20,48294.0,5830.0,0.12071892988777073,12.071892988777073,-0.0017300497040659973,-1.412873924987231
21-50,17979.0,2219.0,0.12342176984259413,12.342176984259414,0.0009727902507574021,0.7944453714518783
51-100,321.0,38.0,0.11838006230529595,11.838006230529595,-0.0040689172865407824,-3.322949117341639
101+,,,,,,
