gap,count,positives,hit_rate,hit_rate_percent
1.0,30228,3693,0.1221714966256451,12.217149662564509
2.0,26529,3154,0.11888876324022768,11.888876324022768
3.0,23370,2902,0.1241762943945229,12.41762943945229
4.0,20463,2541,0.12417534085911157,12.417534085911157
5.0,17918,2158,0.12043754883357517,12.043754883357517
6.0,15757,2005,0.12724503395316367,12.724503395316367
7.0,13750,1684,0.12247272727272727,12.247272727272728
8.0,12064,1556,0.1289787798408488,12.897877984084879
9.0,10505,1283,0.12213231794383626,12.213231794383626
10.0,9221,1122,0.12167877670534649,12.167877670534649
11.0,8097,948,0.11708040014820303,11.708040014820304
12.0,7145,888,0.12428271518544437,12.428271518544436
13.0,6256,766,0.12244245524296675,12.244245524296675
14.0,5490,712,0.1296903460837887,12.969034608378871
15.0,4778,595,0.12452909167015487,12.452909167015488
16.0,4183,490,0.11714080803251255,11.714080803251255
17.0,3692,449,0.12161430119176599,12.161430119176599
18.0,3243,379,0.11686709836571076,11.686709836571076
19.0,2864,318,0.11103351955307263,11.103351955307263
20.0,2546,285,0.11194029850746269,11.194029850746269
21.0,2261,256,0.11322423706324636,11.322423706324635
22.0,2005,273,0.13615960099750624,13.615960099750623
23.0,1732,209,0.12066974595842957,12.066974595842957
24.0,1523,193,0.12672357189757058,12.672357189757058
25.0,1330,161,0.12105263157894737,12.105263157894736
26.0,1169,149,0.12745936698032506,12.745936698032507
27.0,1018,109,0.10707269155206287,10.707269155206287
28.0,909,113,0.12431243124312431,12.43124312431243
29.0,796,107,0.13442211055276382,13.442211055276381
30.0,688,70,0.10174418604651163,10.174418604651162
31.0,618,73,0.11812297734627832,11.812297734627832
32.0,544,70,0.12867647058823528,12.867647058823529
33.0,474,64,0.1350210970464135,13.502109704641349
34.0,410,49,0.11951219512195121,11.951219512195122
35.0,361,39,0.10803324099722991,10.80332409972299
36.0,322,40,0.12422360248447205,12.422360248447205
37.0,282,28,0.09929078014184398,9.929078014184398
38.0,254,35,0.1377952755905512,13.779527559055119
39.0,219,37,0.1689497716894977,16.894977168949772
40.0,182,30,0.16483516483516483,16.483516483516482
41.0,152,22,0.14473684210526316,14.473684210526317
42.0,130,10,0.07692307692307693,7.6923076923076925
43.0,120,14,0.11666666666666667,11.666666666666666
44.0,106,18,0.16981132075471697,16.9811320754717
45.0,88,14,0.1590909090909091,15.909090909090908
46.0,74,12,0.16216216216216217,16.216216216216218
47.0,62,4,0.06451612903225806,6.451612903225806
48.0,58,7,0.1206896551724138,12.068965517241379
49.0,51,10,0.19607843137254902,19.607843137254903
50.0,41,3,0.07317073170731707,7.317073170731707
51.0,38,5,0.13157894736842105,13.157894736842104
52.0,33,4,0.12121212121212122,12.121212121212121
53.0,29,6,0.20689655172413793,20.689655172413794
54.0,23,4,0.17391304347826086,17.391304347826086
55.0,19,1,0.05263157894736842,5.263157894736842
56.0,18,2,0.1111111111111111,11.11111111111111
57.0,16,1,0.0625,6.25
58.0,15,2,0.13333333333333333,13.333333333333334
59.0,13,2,0.15384615384615385,15.384615384615385
60.0,11,1,0.09090909090909091,9.090909090909092
61.0,10,1,0.1,10.0
62.0,9,1,0.1111111111111111,11.11111111111111
63.0,8,0,0.0,0.0
64.0,8,0,0.0,0.0
65.0,8,1,0.125,12.5
66.0,7,1,0.14285714285714285,14.285714285714285
67.0,6,0,0.0,0.0
68.0,6,1,0.16666666666666666,16.666666666666664
69.0,5,1,0.2,20.0
70.0,4,0,0.0,0.0
71.0,4,0,0.0,0.0
72.0,4,0,0.0,0.0
73.0,4,1,0.25,25.0
74.0,3,0,0.0,0.0
75.0,3,0,0.0,0.0
76.0,3,0,0.0,0.0
77.0,3,0,0.0,0.0
78.0,3,1,0.3333333333333333,33.33333333333333
79.0,2,1,0.5,50.0
80.0,1,0,0.0,0.0
81.0,1,0,0.0,0.0
82.0,1,0,0.0,0.0
83.0,1,0,0.0,0.0
84.0,1,0,0.0,0.0
85.0,1,1,1.0,100.0
