fold,test_draws,adaptive_average_hits,adaptive_difference,selected_strategy,selected_average_hits,selected_difference
1,1008,0.7339683764172334,-0.0007256235827664791,meta_score,0.7392858367346937,0.0045918367346938
2,1008,0.7044397351113045,-0.03025426488869546,meta_score,0.690848979411398,-0.043845020588602
3,1008,0.7744335663188627,0.039739566318862746,stability,0.75297631292517,0.01828231292517
4,1008,0.7093931089303533,-0.025300891069646565,diversity,0.684210648764769,-0.0504833512352309
5,7,0.8571429795918366,0.1224489795918366,meta_score,0.8571429795918366,0.1224489795918366
