strategy,mean_absolute_correlation,information_diversity
stability,0.2751514373097028,0.7248485626902972
recency,0.39625873173050297,0.603741268269497
diversity,0.5451700807212106,0.45482991927878935
ensemble,0.5756391301019033,0.42436086989809674
meta_score,0.6702214514701973,0.3297785485298027
