fold,train_draws,test_draws,average_hits,random_expected,difference,difference_percent,empirical_p,selected_numbers
1,1008,1008,0.75,0.7346938775510204,0.015306122448979553,2.083333333333328,0.2568,"22,27,45,32,6,42"
2,2016,1008,0.7212301587301587,0.7346938775510204,-0.013463718820861725,-1.8325617283950681,0.729,"39,44,17,46,6,37"
3,3024,1008,0.7936507936507936,0.7346938775510204,0.05895691609977316,8.024691358024679,0.0244,"49,33,26,3,6,15"
4,4032,1007,0.689175769612711,0.7346938775510204,-0.04551810793830946,-6.195520247158788,0.975,"6,43,38,42,32,18"
