fold,train_start,train_end,test_start,test_end,train_draws,test_draws,selected_numbers,average_hits,total_hits,maximum_hits,random_expected,random_simulation,random_low,random_high,difference,difference_percent,empirical_p
1,1955-10-09,1975-02-01,1975-02-08,1994-05-28,1008,1008,"46,28,42,12,6,3",0.7400793650793651,746,4,0.7346938775510204,0.7347315476190477,0.6884920634920635,0.7827380952380952,0.005385487528344668,0.7330246913580242,0.4186
2,1955-10-09,1994-05-28,1994-06-04,2007-04-28,2016,1008,"37,48,32,21,3,40",0.7152777777777778,721,4,0.7346938775510204,0.7342732142857143,0.6875,0.7817460317460317,-0.019416099773242657,-2.6427469135802504,0.7912
3,1955-10-09,2007-04-28,2007-05-02,2016-12-24,3024,1008,"33,26,25,5,31,15",0.7371031746031746,743,3,0.7346938775510204,0.7353071428571428,0.689484126984127,0.7817460317460317,0.0024092970521542023,0.32793209876543306,0.482
4,1955-10-09,2016-12-24,2016-12-28,2026-08-19,4032,1007,"47,26,41,48,32,31",0.7120158887785502,717,4,0.7346938775510204,0.7351368421052632,0.689175769612711,0.7835153922542205,-0.022677988772470292,-3.086726249586234,0.8382
