fold,meta_score,ensemble,recency,stability,diversity
1,0.0045918367346938,0.0401077097505668,-0.0352891156462585,-0.0114795918367347,-0.0015589569160998
2,-0.043845020588602,-0.0729875283446712,-0.0214002267573696,0.01828231292517,-0.0313208616780045
3,0.0513057866578511,0.0470521541950113,-0.0094954648526077,0.01828231292517,0.0857426303854874
4,-0.0381057161825214,-0.031615426706929,0.0113378684807256,0.0051273736902903,-0.0504833512352309
5,0.1224489795918366,,0.1224489795918366,,
