fold,test_draws,adaptive_average_hits,adaptive_difference,selected_strategy,selected_average_hits,selected_difference,available_strategies
1,1008,0.7339683764172334,-0.0007256235827664791,meta_score,0.7392858367346937,0.0045918367346938,"meta_score,recency,stability,diversity,ensemble"
2,1008,0.6676614240474619,-0.06703257595253806,ensemble,0.6617064716553287,-0.0729875283446712,"meta_score,recency,stability,diversity,ensemble"
3,1008,0.75297631292517,0.01828231292517,stability,0.75297631292517,0.01828231292517,"meta_score,recency,stability,diversity,ensemble"
4,1007,0.7036944088195102,-0.030999591180489734,diversity,0.684210648764769,-0.0504833512352309,"meta_score,recency,stability,diversity,ensemble"
5,7,0.8571429795918366,0.1224489795918366,meta_score,0.8571429795918366,0.1224489795918366,"meta_score,recency"
