fold,train_end,test_start,test_end,test_samples,hit_rate,random_expected,difference,gap_correlation
1,1971-11-13,1971-11-20,1987-12-12,41111,0.12244897959183673,0.12244897959183673,0.0,0.005181260854041572
2,1987-12-12,1987-12-19,2002-06-22,41111,0.12244897959183673,0.12244897959183673,0.0,-0.0037411235153559062
3,2002-06-22,2002-06-26,2010-07-07,41111,0.12244897959183673,0.12244897959183673,0.0,0.007109676652503642
4,2010-07-07,2010-07-10,2018-07-21,41111,0.12244897959183673,0.12244897959183673,0.0,-0.005705793119036379
5,2018-07-21,2018-07-25,2026-08-19,41307,0.12244897959183673,0.12244897959183673,0.0,-0.0010024349431937045
