fold,train_start,train_end,test_start,test_end,train_draws,test_draws,train_auc,test_auc,average_hits,total_hits,maximum_hits,random_expected,difference,difference_percent
1,1955-10-16,2003-06-28,2003-07-02,2008-02-13,2623,483,0.6930221138520123,0.5033233723045253,0.722567287784679,349,3,0.7346938775510204,-0.0121265897663414,-1.650563607085357
2,1955-10-16,2008-02-13,2008-02-16,2012-09-29,3106,483,0.6783528463104757,0.5007025005847456,0.7163561076604554,346,4,0.7346938775510204,-0.018337769890565014,-2.4959742351046823
3,1955-10-16,2012-09-29,2012-10-03,2017-05-17,3589,483,0.6640114374641988,0.4979869680222631,0.6915113871635611,334,3,0.7346938775510204,-0.04318249038745936,-5.8776167471819685
4,1955-10-16,2017-05-17,2017-05-20,2022-01-01,4072,483,0.6567540860765859,0.5003117203564358,0.7639751552795031,369,4,0.7346938775510204,0.029281277728482658,3.9855072463768058
5,1955-10-16,2022-01-01,2022-01-05,2026-08-19,4555,483,0.6462301042235747,0.5032895286649314,0.7619047619047619,368,3,0.7346938775510204,0.027210884353741416,3.7037037037036926
